Zeitstempel;Messstelle1;Messstelle2;Messstelle3;Messstelle4
Do., 05.Jan. 2012 04:45;0,23;0,46;0,35;0,25
Do., 05.Jan. 2012 05:00;0,23;0,45;0,35;0,25
Do., 05.Jan. 2012 05:15;0,22;0,46;0,35;0,25
Do., 05.Jan. 2012 05:30;0,24;0,46;0,36;0,26
Do., 05.Jan. 2012 05:45;0,28;0,44;0,37;0,27
Do., 05.Jan. 2012 06:00;0,22;0,44;0,33;0,24
Do., 05.Jan. 2012 06:15;0,22;0,43;0,33;0,24
Do., 05.Jan. 2012 06:30;0,22;0,44;0,33;0,24
Do., 05.Jan. 2012 06:45;0,23;0,47;0,36;0,26
Do., 05.Jan. 2012 07:00;0,31;0,45;0,39;0,29
Do., 05.Jan. 2012 07:15;0,23;0,47;0,37;0,26
Do., 05.Jan. 2012 07:30;0,22;0,43;0,34;0,24
Do., 05.Jan. 2012 07:45;0,25;0,44;0,36;0,26
Do., 05.Jan. 2012 08:00;0,23;0,47;0,35;0,26
Do., 05.Jan. 2012 08:15;0,24;0,47;0,36;0,26
Do., 05.Jan. 2012 08:30;0,25;0,47;0,36;0,27
Do., 05.Jan. 2012 08:45;0,22;0,46;0,34;0,25
Do., 05.Jan. 2012 09:00;0,24;0,44;0,36;0,25
Do., 05.Jan. 2012 09:15;0,5;0,45;0,48;0,39
Do., 05.Jan. 2012 09:30;0,51;0,44;0,5;0,39
Do., 05.Jan. 2012 09:45;0,53;0,45;0,51;0,4
Do., 05.Jan. 2012 10:00;0,22;0,47;0,35;0,25
Do., 05.Jan. 2012 10:15;0,22;0,46;0,35;0,25
Do., 05.Jan. 2012 10:30;0,23;0,54;0,41;0,28
Do., 05.Jan. 2012 10:45;0,24;0,44;0,35;0,25
Do., 05.Jan. 2012 11:00;0,26;0,44;0,35;0,26
Do., 05.Jan. 2012 11:15;0,22;0,44;0,35;0,24
Do., 05.Jan. 2012 11:30;0,24;0,48;0,37;0,26
Do., 05.Jan. 2012 11:45;0,26;0,47;0,39;0,27
Do., 05.Jan. 2012 12:00;0,25;0,46;0,37;0,26
Do., 05.Jan. 2012 12:15;0,3;0,45;0,4;0,29
Do., 05.Jan. 2012 12:30;0,24;0,44;0,35;0,25
Do., 05.Jan. 2012 12:45;0,23;0,47;0,36;0,26
Do., 05.Jan. 2012 13:00;0,22;0,45;0,35;0,25
Do., 05.Jan. 2012 13:15;0,28;0,47;0,37;0,28
Do., 05.Jan. 2012 13:30;0,58;0,48;0,54;0,43
Do., 05.Jan. 2012 13:45;0,44;0,46;0,46;0,36
Do., 05.Jan. 2012 14:00;0,3;0,44;0,37;0,28
Do., 05.Jan. 2012 14:15;0,48;0,44;0,46;0,37
Do., 05.Jan. 2012 14:30;0,58;0,44;0,52;0,42
Do., 05.Jan. 2012 14:45;0,48;0,46;0,5;0,38
Do., 05.Jan. 2012 15:00;0,47;0,46;0,48;0,37
Do., 05.Jan. 2012 15:15;0,5;0,47;0,51;0,39
Do., 05.Jan. 2012 15:30;0,64;0,44;0,55;0,45
Do., 05.Jan. 2012 15:45;0,63;0,47;0,57;0,46
Do., 05.Jan. 2012 16:00;0,61;0,44;0,55;0,44
Do., 05.Jan. 2012 16:15;0,59;0,44;0,52;0,43
Do., 05.Jan. 2012 16:30;0,59;0,47;0,56;0,44
Do., 05.Jan. 2012 16:45;0,63;0,47;0,58;0,46
Do., 05.Jan. 2012 17:00;0,46;0,53;0,52;0,39
Do., 05.Jan. 2012 17:15;0,24;0,44;0,34;0,25
Do., 05.Jan. 2012 17:30;0,22;0,48;0,35;0,25
Do., 05.Jan. 2012 17:45;0,21;0,44;0,34;0,24
Do., 05.Jan. 2012 18:00;0,22;0,46;0,36;0,25
Do., 05.Jan. 2012 18:15;0,26;0,46;0,36;0,27
Do., 05.Jan. 2012 18:30;0,24;0,46;0,36;0,26
Do., 05.Jan. 2012 18:45;0,21;0,46;0,35;0,24
Do., 05.Jan. 2012 19:00;0,22;0,43;0,34;0,24
Do., 05.Jan. 2012 19:15;0,17;0,44;0,31;0,22
Do., 05.Jan. 2012 19:30;0,2;0,43;0,32;0,23
Do., 05.Jan. 2012 19:45;0,17;0,46;0,32;0,22
Do., 05.Jan. 2012 20:00;0,15;0,46;0,31;0,21
Do., 05.Jan. 2012 20:15;0,14;0,46;0,32;0,21
Do., 05.Jan. 2012 20:30;0,14;0,43;0,31;0,2
Do., 05.Jan. 2012 20:45;0,17;0,46;0,32;0,22
Do., 05.Jan. 2012 21:00;0,21;0,44;0,34;0,24
Do., 05.Jan. 2012 21:15;0,18;0,44;0,32;0,22
Do., 05.Jan. 2012 21:30;0,17;0,46;0,33;0,22
Do., 05.Jan. 2012 21:45;0,15;0,46;0,32;0,21
Do., 05.Jan. 2012 22:00;0,15;0,45;0,31;0,21
Do., 05.Jan. 2012 22:15;0,21;0,44;0,33;0,24
Do., 05.Jan. 2012 22:30;0,15;0,46;0,33;0,21
Do., 05.Jan. 2012 22:45;0,14;0,47;0,32;0,21
Do., 05.Jan. 2012 23:00;0,15;0,46;0,31;0,21
Do., 05.Jan. 2012 23:15;0,15;0,46;0,32;0,21
Do., 05.Jan. 2012 23:30;0,18;0,53;0,35;0,25
Do., 05.Jan. 2012 23:45;0,2;0,44;0,33;0,23
Fr., 06.Jan. 2012 00:00;0,18;0,44;0,33;0,22
Fr., 06.Jan. 2012 00:15;0,15;0,43;0,3;0,2
Fr., 06.Jan. 2012 00:30;0,15;0,45;0,31;0,21
Fr., 06.Jan. 2012 00:45;0,24;0,46;0,36;0,26
Fr., 06.Jan. 2012 01:00;0,2;0,46;0,35;0,24
Fr., 06.Jan. 2012 01:15;0,15;0,46;0,31;0,21
Fr., 06.Jan. 2012 01:30;0,18;0,46;0,33;0,23
Fr., 06.Jan. 2012 01:45;0,15;0,43;0,31;0,2
Fr., 06.Jan. 2012 02:00;0,18;0,44;0,32;0,22
Fr., 06.Jan. 2012 02:15;0,21;0,45;0,34;0,24
Fr., 06.Jan. 2012 02:30;0,14;0,46;0,31;0,21
Fr., 06.Jan. 2012 02:45;0,15;0,46;0,31;0,21
Fr., 06.Jan. 2012 03:00;0,14;0,44;0,3;0,2
Fr., 06.Jan. 2012 03:15;0,18;0,47;0,34;0,23
Fr., 06.Jan. 2012 03:30;0,19;0,43;0,31;0,22
Fr., 06.Jan. 2012 03:45;0,19;0,45;0,33;0,23
Fr., 06.Jan. 2012 04:00;0,14;0,48;0,33;0,21
Fr., 06.Jan. 2012 04:15;0,15;0,47;0,33;0,22
Fr., 06.Jan. 2012 04:30;0,17;0,45;0,32;0,22
Fr., 06.Jan. 2012 04:45;0,17;0,43;0,31;0,21
Fr., 06.Jan. 2012 05:00;0,19;0,44;0,32;0,23
Fr., 06.Jan. 2012 05:15;0,15;0,43;0,31;0,2
Fr., 06.Jan. 2012 05:30;0,15;0,53;0,34;0,23
Fr., 06.Jan. 2012 05:45;0,17;0,46;0,33;0,22
Fr., 06.Jan. 2012 06:00;0,19;0,46;0,34;0,23
Fr., 06.Jan. 2012 06:15;0,26;0,44;0,36;0,26
Fr., 06.Jan. 2012 06:30;0,25;0,43;0,36;0,25
Fr., 06.Jan. 2012 06:45;0,22;0,44;0,34;0,24
Fr., 06.Jan. 2012 07:00;0,23;0,55;0,41;0,28
Fr., 06.Jan. 2012 07:15;0,24;0,61;0,44;0,3
Fr., 06.Jan. 2012 07:30;0,26;0,64;0,47;0,32
Fr., 06.Jan. 2012 07:45;0,59;0,88;0,75;0,56
Fr., 06.Jan. 2012 08:00;0,76;0,91;0,85;0,65
Fr., 06.Jan. 2012 08:15;1,01;1,14;1,12;0,85
Fr., 06.Jan. 2012 08:30;1,02;1,44;1,25;0,94
Fr., 06.Jan. 2012 08:45;1;1,83;1,5;1,05
Fr., 06.Jan. 2012 09:00;1,13;1,93;1,63;1,14
Fr., 06.Jan. 2012 09:15;1,25;2,18;1,73;1,28
Fr., 06.Jan. 2012 09:30;1,66;2,26;2,01;1,51
Fr., 06.Jan. 2012 09:45;1,71;2,38;2,08;1,57
Fr., 06.Jan. 2012 10:00;1,51;2,37;2,04;1,47
Fr., 06.Jan. 2012 10:15;1,55;2,38;1,98;1,49
Fr., 06.Jan. 2012 10:30;1,55;2,19;1,88;1,43
Fr., 06.Jan. 2012 10:45;1,38;2;1,71;1,29
Fr., 06.Jan. 2012 11:00;1,17;2;1,64;1,19
Fr., 06.Jan. 2012 11:15;1,13;1,91;1,54;1,14
Fr., 06.Jan. 2012 11:30;1,23;2,02;1,65;1,22
Fr., 06.Jan. 2012 11:45;1,14;1,99;1,6;1,17
Fr., 06.Jan. 2012 12:00;1,32;2,19;1,83;1,32
Fr., 06.Jan. 2012 12:15;1,44;1,99;1,72;1,32
Fr., 06.Jan. 2012 12:30;1,47;1,89;1,77;1,3
Fr., 06.Jan. 2012 12:45;1,55;1,88;1,8;1,34
Fr., 06.Jan. 2012 13:00;1,18;2,04;1,62;1,2
Fr., 06.Jan. 2012 13:15;1,27;1,88;1,65;1,2
Fr., 06.Jan. 2012 13:30;1,17;1,96;1,62;1,17
Fr., 06.Jan. 2012 13:45;1,27;1,93;1,64;1,21
Fr., 06.Jan. 2012 14:00;1,18;2,1;1,66;1,22
Fr., 06.Jan. 2012 14:15;1,19;1,93;1,65;1,17
Fr., 06.Jan. 2012 14:30;1,22;1,88;1,56;1,17
Fr., 06.Jan. 2012 14:45;1,23;1,83;1,55;1,16
Fr., 06.Jan. 2012 15:00;1,21;1,8;1,55;1,15
Fr., 06.Jan. 2012 15:15;1,18;1,76;1,5;1,12
Fr., 06.Jan. 2012 15:30;1,2;1,83;1,52;1,15
Fr., 06.Jan. 2012 15:45;1,22;1,82;1,62;1,16
Fr., 06.Jan. 2012 16:00;1,22;1,89;1,63;1,18
Fr., 06.Jan. 2012 16:15;1,24;1,8;1,61;1,16
Fr., 06.Jan. 2012 16:30;1,03;1,77;1,49;1,05
Fr., 06.Jan. 2012 16:45;1,02;1,73;1,42;1,03
Fr., 06.Jan. 2012 17:00;0,73;1,5;1,11;0,82
Fr., 06.Jan. 2012 17:15;0,37;1,29;0,87;0,57
Fr., 06.Jan. 2012 17:30;0,41;1,36;0,89;0,61
Fr., 06.Jan. 2012 17:45;0,36;1,22;0,83;0,55
Fr., 06.Jan. 2012 18:00;0,46;1,13;0,85;0,57
Fr., 06.Jan. 2012 18:15;0,67;0,89;0,83;0,6
Fr., 06.Jan. 2012 18:30;0,24;0,7;0,5;0,33
Fr., 06.Jan. 2012 18:45;0,25;0,56;0,42;0,29
Fr., 06.Jan. 2012 19:00;0,59;1,03;0,84;0,6
Fr., 06.Jan. 2012 19:15;0,2;0,51;0,37;0,25
Fr., 06.Jan. 2012 19:30;0,39;0,53;0,46;0,35
Fr., 06.Jan. 2012 19:45;0,45;0,54;0,51;0,39
Fr., 06.Jan. 2012 20:00;0,48;0,53;0,51;0,4
Fr., 06.Jan. 2012 20:15;0,18;0,51;0,35;0,24
Fr., 06.Jan. 2012 20:30;0,22;0,51;0,36;0,26
Fr., 06.Jan. 2012 20:45;0,2;0,5;0,36;0,25
Fr., 06.Jan. 2012 21:00;0,17;0,56;0,37;0,25
Fr., 06.Jan. 2012 21:15;0,18;0,53;0,36;0,25
Fr., 06.Jan. 2012 21:30;0,17;0,55;0,36;0,25
Fr., 06.Jan. 2012 21:45;0,18;0,54;0,37;0,25
Fr., 06.Jan. 2012 22:00;0,23;0,5;0,36;0,27
Fr., 06.Jan. 2012 22:15;0,17;0,51;0,35;0,24
Fr., 06.Jan. 2012 22:30;0,17;0,5;0,33;0,24
Fr., 06.Jan. 2012 22:45;0,18;0,52;0,35;0,25
Fr., 06.Jan. 2012 23:00;0,2;0,54;0,4;0,26
Fr., 06.Jan. 2012 23:15;0,2;0,53;0,37;0,26
Fr., 06.Jan. 2012 23:30;0,22;0,52;0,37;0,27
Fr., 06.Jan. 2012 23:45;0,17;0,53;0,35;0,24
Sa., 07.Jan. 2012 00:00;0,2;0,5;0,36;0,25
Sa., 07.Jan. 2012 00:15;0,19;0,58;0,41;0,27
Sa., 07.Jan. 2012 00:30;0,19;0,52;0,35;0,25
Sa., 07.Jan. 2012 00:45;0,21;0,54;0,37;0,27
Sa., 07.Jan. 2012 01:00;0,18;0,53;0,36;0,25
Sa., 07.Jan. 2012 01:15;0,17;0,52;0,36;0,24
Sa., 07.Jan. 2012 01:30;0,2;0,51;0,37;0,25
Sa., 07.Jan. 2012 01:45;0,19;0,51;0,35;0,25
Sa., 07.Jan. 2012 02:00;0,2;0,51;0,36;0,25
Sa., 07.Jan. 2012 02:15;0,21;0,61;0,41;0,29
Sa., 07.Jan. 2012 02:30;0,17;0,53;0,35;0,24
Sa., 07.Jan. 2012 02:45;0,18;0,53;0,36;0,25
Sa., 07.Jan. 2012 03:00;0,2;0,5;0,36;0,25
Sa., 07.Jan. 2012 03:15;0,17;0,51;0,34;0,24
Sa., 07.Jan. 2012 03:30;0,2;0,5;0,36;0,25
Sa., 07.Jan. 2012 03:45;0,17;0,53;0,36;0,24
Sa., 07.Jan. 2012 04:00;0,18;0,54;0,36;0,25
Sa., 07.Jan. 2012 04:15;0,19;0,53;0,36;0,25
Sa., 07.Jan. 2012 04:30;0,17;0,51;0,35;0,24
Sa., 07.Jan. 2012 04:45;0,24;0,53;0,4;0,28
Sa., 07.Jan. 2012 05:00;0,17;0,5;0,35;0,24
Sa., 07.Jan. 2012 05:15;0,2;0,51;0,35;0,25
Sa., 07.Jan. 2012 05:30;0,25;0,53;0,42;0,28
Sa., 07.Jan. 2012 05:45;0,18;0,53;0,36;0,25
Sa., 07.Jan. 2012 06:00;0,17;0,53;0,35;0,24
Sa., 07.Jan. 2012 06:15;0,26;0,56;0,43;0,3
Sa., 07.Jan. 2012 06:30;0,24;0,51;0,39;0,27
Sa., 07.Jan. 2012 06:45;0,26;0,53;0,4;0,29
Sa., 07.Jan. 2012 07:00;0,24;0,62;0,45;0,31
Sa., 07.Jan. 2012 07:15;0,24;0,63;0,45;0,31
Sa., 07.Jan. 2012 07:30;0,57;0,65;0,64;0,48
Sa., 07.Jan. 2012 07:45;0,65;0,78;0,74;0,56
Sa., 07.Jan. 2012 08:00;0,79;1,12;0,99;0,73
Sa., 07.Jan. 2012 08:15;0,97;1,08;1,02;0,81
Sa., 07.Jan. 2012 08:30;1,19;1,25;1,23;0,97
Sa., 07.Jan. 2012 08:45;1,02;1,45;1,31;0,95
Sa., 07.Jan. 2012 09:00;1,02;1,87;1,53;1,07
Sa., 07.Jan. 2012 09:15;1,05;1,99;1,61;1,12
Sa., 07.Jan. 2012 09:30;1,38;1,9;1,68;1,26
Sa., 07.Jan. 2012 09:45;1,07;1,82;1,49;1,08
Sa., 07.Jan. 2012 10:00;1,07;1,78;1,5;1,07
Sa., 07.Jan. 2012 10:15;1,07;1,85;1,54;1,09
Sa., 07.Jan. 2012 10:30;1,24;1,86;1,61;1,18
Sa., 07.Jan. 2012 10:45;1,11;1,78;1,52;1,09
Sa., 07.Jan. 2012 11:00;1,25;1,89;1,58;1,19
Sa., 07.Jan. 2012 11:15;1,17;1,91;1,6;1,16
Sa., 07.Jan. 2012 11:30;1,21;1,8;1,56;1,15
Sa., 07.Jan. 2012 11:45;1,25;2,04;1,68;1,24
Sa., 07.Jan. 2012 12:00;1,1;1,89;1,51;1,12
Sa., 07.Jan. 2012 12:15;0,87;1,78;1,35;0,97
Sa., 07.Jan. 2012 12:30;1,1;1,72;1,49;1,07
Sa., 07.Jan. 2012 12:45;1,21;1,6;1,41;1,09
Sa., 07.Jan. 2012 13:00;1,29;1,8;1,63;1,19
Sa., 07.Jan. 2012 13:15;1,21;1,82;1,61;1,15
Sa., 07.Jan. 2012 13:30;1,09;1,66;1,43;1,04
Sa., 07.Jan. 2012 13:45;1,17;1,93;1,61;1,16
Sa., 07.Jan. 2012 14:00;1,17;1,67;1,49;1,09
Sa., 07.Jan. 2012 14:15;1,2;2,34;1,85;1,3
Sa., 07.Jan. 2012 14:30;1,1;2,22;1,76;1,22
Sa., 07.Jan. 2012 14:45;1,28;1,97;1,69;1,23
Sa., 07.Jan. 2012 15:00;1,21;1,96;1,64;1,19
Sa., 07.Jan. 2012 15:15;1,13;2;1,66;1,17
Sa., 07.Jan. 2012 15:30;1,21;2,19;1,79;1,26
Sa., 07.Jan. 2012 15:45;1,21;1,75;1,51;1,13
Sa., 07.Jan. 2012 16:00;1,17;1,71;1,5;1,1
Sa., 07.Jan. 2012 16:15;1,14;1,57;1,42;1,04
Sa., 07.Jan. 2012 16:30;1,07;1,51;1,31;0,99
Sa., 07.Jan. 2012 16:45;0,97;1,44;1,25;0,92
Sa., 07.Jan. 2012 17:00;0,81;1,46;1,2;0,84
Sa., 07.Jan. 2012 17:15;0,8;1,25;1,08;0,78
Sa., 07.Jan. 2012 17:30;0,77;1,03;0,92;0,69
Sa., 07.Jan. 2012 17:45;0,26;0,86;0,59;0,39
Sa., 07.Jan. 2012 18:00;0,29;0,67;0,51;0,35
Sa., 07.Jan. 2012 18:15;0,23;0,61;0,43;0,3
Sa., 07.Jan. 2012 18:30;0,67;0,57;0,64;0,51
Sa., 07.Jan. 2012 18:45;0,39;0,56;0,5;0,36
Sa., 07.Jan. 2012 19:00;0,31;0,69;0,52;0,36
Sa., 07.Jan. 2012 19:15;0,89;0,79;0,87;0,68
Sa., 07.Jan. 2012 19:30;0,5;0,64;0,59;0,44
Sa., 07.Jan. 2012 19:45;0,2;0,74;0,48;0,32
Sa., 07.Jan. 2012 20:00;0,64;0,88;0,8;0,58
Sa., 07.Jan. 2012 20:15;0,32;0,54;0,45;0,32
Sa., 07.Jan. 2012 20:30;0,18;0,53;0,36;0,25
Sa., 07.Jan. 2012 20:45;0,19;0,52;0,36;0,25
Sa., 07.Jan. 2012 21:00;0,17;0,55;0,37;0,25
Sa., 07.Jan. 2012 21:15;0,2;0,53;0,37;0,26
Sa., 07.Jan. 2012 21:30;0,19;0,56;0,39;0,26
Sa., 07.Jan. 2012 21:45;0,17;0,55;0,39;0,25
Sa., 07.Jan. 2012 22:00;0,24;0,58;0,42;0,29
Sa., 07.Jan. 2012 22:15;0,21;0,53;0,39;0,26
Sa., 07.Jan. 2012 22:30;0,19;0,52;0,36;0,25
Sa., 07.Jan. 2012 22:45;0,19;0,52;0,35;0,25
Sa., 07.Jan. 2012 23:00;0,17;0,53;0,35;0,24
Sa., 07.Jan. 2012 23:15;0,18;0,55;0,39;0,26
Sa., 07.Jan. 2012 23:30;0,2;0,57;0,4;0,27
Sa., 07.Jan. 2012 23:45;0,2;0,55;0,39;0,27
So., 08.Jan. 2012 00:00;0,19;0,53;0,37;0,25
So., 08.Jan. 2012 00:15;0,17;0,52;0,34;0,24
So., 08.Jan. 2012 00:30;0,22;0,51;0,36;0,26
So., 08.Jan. 2012 00:45;0,2;0,5;0,35;0,25
So., 08.Jan. 2012 01:00;0,21;0,53;0,37;0,26
So., 08.Jan. 2012 01:15;0,17;0,54;0,36;0,25
So., 08.Jan. 2012 01:30;0,18;0,52;0,36;0,25
So., 08.Jan. 2012 01:45;0,18;0,54;0,36;0,25
So., 08.Jan. 2012 02:00;0,22;0,51;0,37;0,26
So., 08.Jan. 2012 02:15;0,21;0,53;0,37;0,26
So., 08.Jan. 2012 02:30;0,18;0,51;0,35;0,24
So., 08.Jan. 2012 02:45;0,17;0,48;0,33;0,23
So., 08.Jan. 2012 03:00;0,19;0,47;0,33;0,24
So., 08.Jan. 2012 03:15;0,2;0,55;0,37;0,27
So., 08.Jan. 2012 03:30;0,17;0,55;0,36;0,25
So., 08.Jan. 2012 03:45;0,22;0,53;0,37;0,27
So., 08.Jan. 2012 04:00;0,17;0,51;0,34;0,24
So., 08.Jan. 2012 04:15;0,18;0,57;0,4;0,26
So., 08.Jan. 2012 04:30;0,23;0,52;0,4;0,27
So., 08.Jan. 2012 04:45;0,18;0,52;0,35;0,25
So., 08.Jan. 2012 05:00;0,22;0,54;0,4;0,27
So., 08.Jan. 2012 05:15;0,2;0,53;0,37;0,26
So., 08.Jan. 2012 05:30;0,17;0,53;0,35;0,24
So., 08.Jan. 2012 05:45;0,2;0,5;0,36;0,25
So., 08.Jan. 2012 06:00;0,18;0,51;0,35;0,24
So., 08.Jan. 2012 06:15;0,24;0,56;0,42;0,29
So., 08.Jan. 2012 06:30;0,28;0,54;0,43;0,3
So., 08.Jan. 2012 06:45;0,24;0,55;0,4;0,29
So., 08.Jan. 2012 07:00;0,26;0,63;0,45;0,32
So., 08.Jan. 2012 07:15;0,25;0,59;0,43;0,3
So., 08.Jan. 2012 07:30;0,33;0,73;0,55;0,38
So., 08.Jan. 2012 07:45;0,73;0,96;0,88;0,65
So., 08.Jan. 2012 08:00;1,03;1,02;1,06;0,82
So., 08.Jan. 2012 08:15;1,11;1,14;1,13;0,9
So., 08.Jan. 2012 08:30;0,89;1,29;1,13;0,83
So., 08.Jan. 2012 08:45;1,02;1,69;1,45;1,02
So., 08.Jan. 2012 09:00;1,05;1,68;1,43;1,03
So., 08.Jan. 2012 09:15;1,09;1,84;1,46;1,1
So., 08.Jan. 2012 09:30;1,45;1,89;1,74;1,29
So., 08.Jan. 2012 09:45;1,33;1,87;1,65;1,23
So., 08.Jan. 2012 10:00;1,21;2;1,72;1,21
So., 08.Jan. 2012 10:15;1,29;1,88;1,64;1,21
So., 08.Jan. 2012 10:30;1,23;1,91;1,58;1,19
So., 08.Jan. 2012 10:45;1,25;1,74;1,57;1,15
So., 08.Jan. 2012 11:00;1,24;2,02;1,65;1,23
So., 08.Jan. 2012 11:15;1,27;1,66;1,49;1,13
So., 08.Jan. 2012 11:30;1,17;1,72;1,46;1,1
So., 08.Jan. 2012 11:45;1,27;1,67;1,54;1,14
So., 08.Jan. 2012 12:00;1,12;1,83;1,55;1,11
So., 08.Jan. 2012 12:15;1,02;1,53;1,29;0,97
So., 08.Jan. 2012 12:30;1,35;1,73;1,62;1,19
So., 08.Jan. 2012 12:45;1,33;1,69;1,57;1,17
So., 08.Jan. 2012 13:00;1,35;1,55;1,52;1,14
So., 08.Jan. 2012 13:15;1,21;1,77;1,52;1,14
So., 08.Jan. 2012 13:30;1,23;1,63;1,5;1,1
So., 08.Jan. 2012 13:45;1,2;1,61;1,46;1,08
So., 08.Jan. 2012 14:00;1,22;1,69;1,49;1,12
So., 08.Jan. 2012 14:15;1,24;1,65;1,51;1,12
So., 08.Jan. 2012 14:30;1,3;1,54;1,49;1,11
So., 08.Jan. 2012 14:45;1,2;1,63;1,44;1,09
So., 08.Jan. 2012 15:00;1,3;1,82;1,58;1,2
So., 08.Jan. 2012 15:15;1,39;1,68;1,61;1,2
So., 08.Jan. 2012 15:30;1,32;1,58;1,54;1,13
So., 08.Jan. 2012 15:45;0,98;1,65;1,38;0,99
So., 08.Jan. 2012 16:00;0,86;1,62;1,25;0,92
So., 08.Jan. 2012 16:15;0,78;1,55;1,18;0,86
So., 08.Jan. 2012 16:30;0,72;1,44;1,11;0,79
So., 08.Jan. 2012 16:45;0,69;0,97;0,85;0,64
So., 08.Jan. 2012 17:00;0,62;0,86;0,76;0,57
So., 08.Jan. 2012 17:15;0,65;0,75;0,74;0,55
So., 08.Jan. 2012 17:30;0,35;0,72;0,56;0,39
So., 08.Jan. 2012 17:45;0,74;0,61;0,69;0,55
So., 08.Jan. 2012 18:00;0,24;0,52;0,39;0,28
So., 08.Jan. 2012 18:15;1,14;0,48;0,87;0,71
So., 08.Jan. 2012 18:30;1,32;0,58;0,96;0,83
So., 08.Jan. 2012 18:45;1,3;0,58;1;0,82
So., 08.Jan. 2012 19:00;1,07;0,58;0,84;0,71
So., 08.Jan. 2012 19:15;0,96;0,85;0,96;0,74
So., 08.Jan. 2012 19:30;0,98;0,87;0,94;0,75
So., 08.Jan. 2012 19:45;1,22;0,74;0,99;0,83
So., 08.Jan. 2012 20:00;0,18;0,59;0,4;0,27
So., 08.Jan. 2012 20:15;0,23;0,52;0,4;0,27
So., 08.Jan. 2012 20:30;0,63;0,98;0,85;0,61
So., 08.Jan. 2012 20:45;0,28;0,53;0,41;0,3
So., 08.Jan. 2012 21:00;0,22;0,46;0,34;0,25
So., 08.Jan. 2012 21:15;0,17;0,46;0,32;0,22
So., 08.Jan. 2012 21:30;0,17;0,45;0,32;0,22
So., 08.Jan. 2012 21:45;0,18;0,48;0,34;0,23
So., 08.Jan. 2012 22:00;0,22;0,48;0,36;0,25
So., 08.Jan. 2012 22:15;0,21;0,51;0,36;0,26
So., 08.Jan. 2012 22:30;0,18;0,47;0,34;0,23
So., 08.Jan. 2012 22:45;0,17;0,46;0,32;0,22
So., 08.Jan. 2012 23:00;0,18;0,46;0,34;0,23
So., 08.Jan. 2012 23:15;0,2;0,45;0,33;0,24
So., 08.Jan. 2012 23:30;0,2;0,5;0,35;0,25
So., 08.Jan. 2012 23:45;0,21;0,48;0,36;0,25
Mo., 09.Jan. 2012 00:00;0,3;0,48;0,41;0,29
Mo., 09.Jan. 2012 00:15;0,2;0,48;0,35;0,24
Mo., 09.Jan. 2012 00:30;0,2;0,46;0,33;0,24
Mo., 09.Jan. 2012 00:45;0,19;0,46;0,34;0,23
Mo., 09.Jan. 2012 01:00;0,21;0,47;0,35;0,25
Mo., 09.Jan. 2012 01:15;0,18;0,53;0,35;0,25
Mo., 09.Jan. 2012 01:30;0,18;0,56;0,37;0,26
Mo., 09.Jan. 2012 01:45;0,2;0,47;0,34;0,24
Mo., 09.Jan. 2012 02:00;0,18;0,46;0,34;0,23
Mo., 09.Jan. 2012 02:15;0,22;0,45;0,34;0,25
Mo., 09.Jan. 2012 02:30;0,2;0,45;0,33;0,24
Mo., 09.Jan. 2012 02:45;0,18;0,53;0,36;0,25
Mo., 09.Jan. 2012 03:00;0,2;0,48;0,35;0,24
Mo., 09.Jan. 2012 03:15;0,18;0,48;0,34;0,23
Mo., 09.Jan. 2012 03:30;0,18;0,46;0,33;0,23
Mo., 09.Jan. 2012 03:45;0,17;0,46;0,32;0,22
Mo., 09.Jan. 2012 04:00;0,22;0,45;0,34;0,25
Mo., 09.Jan. 2012 04:15;0,21;0,47;0,35;0,25
Mo., 09.Jan. 2012 04:30;0,2;0,48;0,34;0,24
Mo., 09.Jan. 2012 04:45;0,18;0,48;0,34;0,23
Mo., 09.Jan. 2012 05:00;0,18;0,47;0,33;0,23
Mo., 09.Jan. 2012 05:15;0,18;0,45;0,32;0,23
Mo., 09.Jan. 2012 05:30;0,23;0,46;0,35;0,25
Mo., 09.Jan. 2012 05:45;0,18;0,46;0,33;0,23
Mo., 09.Jan. 2012 06:00;0,18;0,48;0,33;0,23
Mo., 09.Jan. 2012 06:15;0,24;0,52;0,4;0,28
Mo., 09.Jan. 2012 06:30;0,32;0,51;0,43;0,31
Mo., 09.Jan. 2012 06:45;0,31;0,46;0,39;0,29
Mo., 09.Jan. 2012 07:00;0,25;0,45;0,35;0,26
Mo., 09.Jan. 2012 07:15;0,24;0,46;0,36;0,26
Mo., 09.Jan. 2012 07:30;0,24;0,48;0,37;0,26
Mo., 09.Jan. 2012 07:45;0,25;0,57;0,44;0,3
Mo., 09.Jan. 2012 08:00;0,26;0,5;0,4;0,28
Mo., 09.Jan. 2012 08:15;0,3;0,47;0,4;0,29
Mo., 09.Jan. 2012 08:30;0,24;0,47;0,36;0,26
Mo., 09.Jan. 2012 08:45;0,24;0,48;0,37;0,26
Mo., 09.Jan. 2012 09:00;0,25;0,46;0,36;0,26
Mo., 09.Jan. 2012 09:15;0,26;0,5;0,39;0,28
Mo., 09.Jan. 2012 09:30;0,29;0,5;0,41;0,3
Mo., 09.Jan. 2012 09:45;0,29;0,47;0,4;0,29
Mo., 09.Jan. 2012 10:00;0,23;0,46;0,36;0,25
Mo., 09.Jan. 2012 10:15;0,24;0,46;0,35;0,26
